|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Courts 3-6                 | 9/3/2021 0:00  |                 2 |               13 |  14.6666666666667 |         |       23 |       32 |          |         |               52 |               71 |                95 |                  |              100 |               93 |      67 |                  |                  |          | 562.666666666667 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Raquetball Court 1         | 9/4/2021 0:00  |                   |                  |                 0 |       1 |        0 |          |        0 |         |                0 |                0 |                   |                2 |                  |                2 |       1 |                  |                  |          |                6 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Raquetball Court 2         | 9/4/2021 0:00  |                   |                  |                 0 |         |          |          |          |         |                0 |                0 |                   |                0 |                  |                0 |       1 |                  |                  |          |                1 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Balance (level 3)               | 9/4/2021 0:00  |                   |                  |                 0 |         |          |          |          |         | C                | C                | C                 |                0 |                  |                1 |       0 |                  |                  |          |                1 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Spark (level 3)                 | 9/4/2021 0:00  |                   |                  |                 0 |         |          |          |          |         | C                | C                | C                 | C                | C                | C                | C       | C                | C                | C        |                0 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Revolution (Spin LL)            | 9/4/2021 0:00  |                   |                  |                 0 |         |          |          |          |         |                0 |                0 |                   |                0 |                  |                0 |       0 |                  |                  |          |                0 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Level 3 Fitness            | 9/4/2021 0:00  |                   |                  |                25 |      32 |       15 |       52 |       40 |      30 |               27 |               36 |                   |               46 |                  |               42 |      44 |                  |                  |          |              389 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Momentum (level 2)              | 9/4/2021 0:00  |                   |                  |                 0 |         |          |          |          |         |                5 |                0 |                   |                0 |                  |                0 |       0 |                  |                  |          |                5 | Active |
|----------------------------|---------------------------------|----------------|-------------------|------------------|-------------------|---------|----------|----------|----------|---------|------------------|------------------|-------------------|------------------|------------------|------------------|---------|------------------|------------------|----------|------------------|--------|
| Nicholas Recreation Center | Nick Level 1 Fitness            | 9/4/2021 0:00  |                   |                  |                20 |      10 |       11 |       18 |       19 |      14 | 16.6666666666667 |                9 |                   |               22 |                  |               24 |      11 |                  |                  |          | 174.666666666667 | Active |
